supplier_key,supplier_name,award_count,buyer_count,award_amount_pen,average_award_ticket_pen,known_buyer_amount_pen,top_buyer_share_pct,award_hhi,award_item_count,award_item_amount_pen,known_category_item_amount_pen,category_count,top_category_share_pct,contract_count,contract_amount_pen,known_buyer_amount_coverage_pct,known_category_item_amount_coverage_pct,effective_award_count,is_score_eligible,component_award_amount_materiality,component_buyer_dependency,component_category_dependency,component_award_concentration,component_limited_buyer_breadth,score_baseline,rank_baseline,score_dependency_heavy,rank_dependency_heavy,score_materiality_heavy,rank_materiality_heavy,score_balanced_equal,rank_balanced_equal,exposure_band,maximum_absolute_rank_shift,scenario_score_range
11071,CORPORACION MERAKI PERU S.A.C,2,1,236419.0,118209.5,236419.0,100.0,5133.706160790818,2,236419.0,236419.0,1,100.0,0.0,0.0,100.0,100.0,1.947910473796879,True,34.831460674157306,80.0561797752809,75.0,44.38202247191011,79.21348314606742,64.31179775280899,36,70.15449438202248,25,55.77247191011236,60,62.69662921348315,40,MEDIUM_RELATIVE,35,14.382022471910119
4677,SUPERINTENDENCY IN PERUVIAN SERVICES SOCIEDAD ANONIMA CERRADA,2,2,1948378.56,974189.28,1948378.56,94.11264307897126,8891.850558825421,2,1948378.56,1948378.56,2,94.11264307897126,0.0,0.0,100.0,100.0,1.1246252884979842,True,88.76404494382022,55.056179775280896,46.06741573033708,96.62921348314607,36.79775280898876,63.960674157303366,37,58.52528089887641,65,71.60112359550563,17,64.66292134831461,33,MEDIUM_RELATIVE,48,13.075842696629216
11784,CORPORACION FERREXPRESS E.I.R.L.,2,2,433409.4,216704.7,433409.4,86.19711524484701,7620.462304097472,2,433409.4,433409.4,1,100.0,1.0,59823.0,100.0,100.0,1.312256343637192,True,61.79775280898876,51.12359550561798,75.0,91.57303370786516,36.79775280898876,63.8623595505618,38,63.87640449438203,47,63.609550561797754,42,63.25842696629214,38,MEDIUM_RELATIVE,9,0.617977528089888
5724,"INSTITUTO DE CALIDAD Y ACREDITACION DE PROGRAMAS DE COMPUTACION, INGENIERIA Y TECNOLOGIA",2,2,396000.0,198000.0,396000.0,87.87878787878788,7869.605142332414,2,396000.0,396000.0,1,100.0,2.0,396000.0,100.0,100.0,1.2707117852975498,True,56.17977528089887,52.247191011235955,75.0,92.69662921348315,36.79775280898876,63.2443820224719,39,63.87640449438202,48,61.75561797752809,44,62.58426966292135,41,MEDIUM_RELATIVE,9,2.120786516853933
9369,GRUPO INDESCAR E.I.R.L.,3,3,986730.95,328910.31666666665,986730.95,80.44958456000595,6664.727406839448,3,986730.95,986730.95,1,100.0,0.0,0.0,100.0,100.0,1.5004364604226488,True,82.02247191011236,47.752808988764045,75.0,84.26966292134831,10.112359550561791,63.13202247191011,40,62.485955056179776,52,67.26123595505618,30,59.831460674157306,48,MEDIUM_RELATIVE,22,7.429775280898873
7233,ROYAL SH COMPANY S.A.C.,2,1,189790.0,94895.0,189790.0,100.0,5224.212264569302,2,189790.0,189790.0,1,100.0,1.0,114990.0,100.0,100.0,1.9141641827649643,True,21.910112359550563,80.0561797752809,75.0,51.12359550561798,79.21348314606742,62.73876404494382,41,69.5365168539326,27,51.615168539325836,76,61.46067415730337,44,MEDIUM_RELATIVE,49,17.92134831460676
4071,JORGE PEÑA S A JORPESA,2,2,1783898.0,891949.0,1783898.0,94.39441044274953,8941.727357118618,4,1783898.0,1683900.0,2,82.6593028089554,1.0,99998.0,100.0,94.39441044274953,1.1183521483730856,True,87.64044943820225,55.61797752808989,39.8876404494382,97.19101123595506,36.79775280898876,62.4438202247191,42,56.5308988764045,70,70.42134831460675,20,63.426966292134836,37,MEDIUM_RELATIVE,50,13.890449438202246
5536,GREY INVERSIONES S.A.C. BIC,3,3,2364500.0,788166.6666666666,2364500.0,76.65468386551068,6153.078589292229,3,2364500.0,2052500.0,1,100.0,1.0,1812500.0,100.0,86.80482131528865,1.6252027102989224,True,92.69662921348315,43.82022471910113,75.0,73.03370786516854,10.112359550561791,62.40168539325843,43,60.856741573033716,58,69.05898876404494,26,58.932584269662925,54,MEDIUM_RELATIVE,32,10.126404494382015
6549,SCD  INDUSTRIES  E.I.R.L,2,1,500000.0,250000.0,500000.0,100.0,5800.0,2,500000.0,500000.0,2,70.0,0.0,0.0,100.0,100.0,1.7241379310344827,True,68.25842696629213,80.0561797752809,25.84269662921348,65.1685393258427,79.21348314606742,61.82584269662921,44,58.37078651685393,67,64.8876404494382,36,63.70786516853932,36,MEDIUM_RELATIVE,31,6.516853932584262
138,COELHO PRADA JUAN,2,1,144000.0,72000.0,144000.0,100.0,5555.555555555557,2,144000.0,144000.0,1,100.0,2.0,144000.0,100.0,100.0,1.7999999999999996,True,7.303370786516854,80.0561797752809,75.0,61.51685393258427,79.21348314606742,61.37640449438203,45,69.11516853932585,28,47.3314606741573,101,60.61797752808989,46,MEDIUM_RELATIVE,73,21.78370786516855
9085,COMPAÑIA PERUANA DE PETROLEO GAS Y GASOLINA S.A.C.,2,2,1902905.7,951452.85,1902905.7,86.88015911666038,7720.292272940376,3,1902905.7,1902905.7,2,86.00808227123393,0.0,0.0,100.0,100.0,1.2952877490208499,True,88.20224719101124,51.68539325842696,42.69662921348315,92.13483146067416,36.79775280898876,61.32022471910112,46,55.49157303370787,74,69.52247191011237,25,62.30337078651686,42,MEDIUM_RELATIVE,49,14.0308988764045
4573,MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS,2,2,1046849.75,523424.875,1046849.75,73.77216548984227,6130.231704152895,2,1046849.75,1046849.75,1,100.0,0.0,0.0,100.0,100.0,1.6312597113132852,True,83.14606741573034,37.640449438202246,75.0,72.47191011235955,36.79775280898876,61.22191011235955,47,58.70786516853933,64,66.5870786516854,32,61.011235955056186,45,MEDIUM_RELATIVE,32,7.879213483146074
4206,SISTEMAS ORACLE DEL PERU S.R.L.,3,3,4454071.87,1484690.6233333333,4454071.87,90.28924627567808,8211.379448230715,3,4454071.87,4454071.87,3,90.28924627567808,1.0,325736.53,100.0,100.0,1.2178221775093678,True,95.50561797752809,52.80898876404494,43.82022471910113,93.25842696629213,10.112359550561791,60.89887640449439,48,55.842696629213485,73,70.33707865168539,21,59.101123595505626,52,MEDIUM_RELATIVE,52,14.494382022471903
7280,CONSORCIO NILS SOCIEDAD ANONIMA CERRADA,3,2,3018639.12,1006213.04,3018639.12,95.3489266381733,4682.965571184201,3,3018639.12,3018639.12,1,100.0,2.0,1349999.12,100.0,100.0,2.13539900048235,True,94.38202247191012,56.741573033707866,75.0,16.853932584269664,36.79775280898876,60.85674157303371,49,61.910112359550574,55,66.55898876404495,33,55.95505617977528,71,MEDIUM_RELATIVE,38,10.603932584269671
8523,TECNOLOGIA CRUZ SOCIEDAD ANONIMA CERRADA,2,1,165000.0,82500.0,165000.0,100.0,5200.0,2,165000.0,165000.0,1,100.0,0.0,0.0,100.0,100.0,1.9230769230769231,True,14.044943820224718,80.0561797752809,75.0,48.31460674157304,79.21348314606742,60.74438202247191,50,68.46910112359551,30,48.04775280898876,90,59.325842696629216,50,MEDIUM_RELATIVE,60,20.421348314606746
12671,DATA DEEP TECHNOLOGY S.A.C.,2,1,159158.6,79579.3,159158.6,100.0,5219.011212874239,2,159158.6,159158.6,1,100.0,0.0,0.0,100.0,100.0,1.9160717599786017,True,11.797752808988765,80.0561797752809,75.0,50.561797752808985,79.21348314606742,60.63202247191012,51,68.46910112359551,30,47.485955056179776,100,59.325842696629216,50,MEDIUM_RELATIVE,70,20.98314606741573
8813,INVERSIONES R. ORTIZ S.A.C.,3,3,4531812.8,1510604.2666666666,4531812.8,74.15030029484008,5832.411286913034,3,4531812.8,4531812.8,1,100.0,1.0,3360352.8,100.0,100.0,1.714556725867112,True,96.06741573033707,38.764044943820224,75.0,65.73033707865169,10.112359550561791,60.46348314606742,52,58.44101123595506,66,68.3005617977528,28,57.13483146067416,61,MEDIUM_RELATIVE,38,11.16573033707865
7962,CARNES EL FRESQUITO S.A.C.,2,2,471452.0,235726.0,471452.0,76.21984846813673,6374.960907384104,3,471452.0,385352.0,1,100.0,0.0,0.0,100.0,81.73727123864147,1.5686370701374845,True,66.29213483146067,41.57303370786517,75.0,78.65168539325843,36.79775280898876,59.95786516853932,53,59.21348314606742,61,61.55898876404495,45,59.66292134831461,49,MEDIUM_RELATIVE,16,2.3455056179775298
599,ARANYA CHOQUE ALEJANDRINO,3,1,273080.0,91026.66666666667,273080.0,100.0,3620.573121796508,3,273080.0,273080.0,1,100.0,0.0,0.0,100.0,100.0,2.761993657799143,True,39.325842696629216,80.0561797752809,75.0,8.98876404494382,79.21348314606742,59.90168539325843,54,67.06460674157303,39,52.26123595505618,74,56.51685393258427,67,MEDIUM_RELATIVE,35,14.803370786516851
4631,COMERCIAL CARMENCITA S.R.L.,2,1,171270.4,85635.2,171270.4,100.0,5079.2588770007405,2,171270.4,171270.4,1,100.0,0.0,0.0,100.0,100.0,1.9687911646482008,True,16.292134831460675,80.0561797752809,75.0,38.764044943820224,79.21348314606742,59.76123595505618,55,67.73876404494382,33,47.514044943820224,99,57.86516853932584,58,MEDIUM_RELATIVE,66,20.224719101123597
6600,CORPORACION DOMINIC S.A.C.,2,1,156669.0,78334.5,156669.0,100.0,5181.737783619188,2,156669.0,156669.0,1,100.0,0.0,0.0,100.0,100.0,1.9298545039489616,True,10.674157303370787,80.0561797752809,75.0,46.06741573033708,79.21348314606742,59.73314606741573,56,67.90730337078652,32,46.36235955056179,107,58.20224719101124,56,MEDIUM_RELATIVE,75,21.54494382022473
4598,BIOTOSCANA FARMA DE PERU S.A.C.,2,1,214784.96,107392.48,214784.96,100.0,6488.406092731015,2,214784.96,214784.96,2,77.2800851605252,0.0,0.0,100.0,100.0,1.5412105618979424,True,29.213483146067414,80.0561797752809,37.07865168539326,83.70786516853933,79.21348314606742,59.606741573033716,57,60.252808988764045,59,53.735955056179776,68,61.853932584269664,43,MEDIUM_RELATIVE,25,8.117977528089888
7096,Y & C SERVICIOS GENERALES E.I.R.L.,2,1,169800.0,84900.0,169800.0,100.0,5070.761555547231,2,169800.0,169800.0,1,100.0,2.0,169800.0,100.0,100.0,1.9720903636378562,True,15.730337078651685,80.0561797752809,75.0,38.20224719101124,79.21348314606742,59.56460674157303,58,67.62640449438203,34,47.20505617977528,102,57.640449438202246,59,MEDIUM_RELATIVE,68,20.421348314606746
7497,MASKHAY PERU S.A.C.,2,2,381247.5,190623.75,381247.5,77.18017823067692,6477.5241773027265,2,381247.5,381247.5,1,100.0,1.0,294247.5,100.0,100.0,1.5437997182689096,True,55.056179775280896,45.50561797752809,75.0,83.14606741573034,36.79775280898876,59.56460674157303,58,60.112359550561806,60,58.5252808988764,51,59.10112359550562,53,MEDIUM_RELATIVE,9,1.5870786516854025
2068,RETAMOZO VIVAR DANNY ISAUD,2,1,207800.0,103900.0,207800.0,100.0,5000.0741069418755,2,207800.0,207800.0,1,100.0,0.0,0.0,100.0,100.0,1.9999703576625905,True,28.089887640449437,80.0561797752809,75.0,20.786516853932586,79.21348314606742,59.42415730337079,60,67.12078651685393,37,49.53651685393258,85,56.62921348314607,64,MEDIUM_RELATIVE,48,17.584269662921344
7189,GEOANDINA INVERSIONES & OBRAS S.R.L.,2,1,189047.09,94523.545,189047.09,100.0,5016.442926499882,2,189047.09,189047.09,1,100.0,0.0,0.0,100.0,100.0,1.9934443880890103,True,21.348314606741575,80.0561797752809,75.0,27.528089887640448,79.21348314606742,59.08707865168539,61,67.12078651685393,37,47.85112359550561,93,56.62921348314607,64,MEDIUM_RELATIVE,56,19.269662921348313
6875,E & M MUÑOZ CONSTRUCCIONES Y SERVICIOS GENERALES S.A.C. - E & M MUÑOZ CONSTRUCSERG S.A.C.,2,2,1354860.0,677430.0,1354860.0,84.25667596652053,7347.039696550371,2,1354860.0,1354860.0,2,84.25667596652053,0.0,0.0,100.0,100.0,1.3610924144993068,True,85.3932584269663,48.87640449438202,41.01123595505618,88.76404494382022,36.79775280898876,58.988764044943814,62,53.16011235955057,80,67.07865168539327,31,60.1685393258427,47,MEDIUM_RELATIVE,49,13.918539325842701
